名次,馬號,馬名,騎師,練馬師,實際負磅,檔位,完賽時間
1,1,光年八十 ,黃智弘,容天鵬,125,1,1:09.80
2,13,快狠準 ,艾兆禮,賀賢,120,6,1:10.02
3,4,帥炸 ,麥道朗,蘇偉賢,129,5,1:10.16
4,6,黑白 ,田泰安,葉楚航,129,3,1:10.23
5,8,手錶之星 ,潘頓,丁冠豪,128,8,1:10.26
6,3,金運來 ,布文,文家良,129,7,1:10.29
7,9,江南盛 ,蔡明紹,伍鵬志,127,9,1:10.44
8,2,加州代表 ,巴度,告東尼,129,11,1:10.51
9,10,欣樂人生 ,梁家俊,姚本輝,127,12,1:10.69
10,12,投資有利 ,霍宏聲,韋達,122,2,1:10.72
11,11,火神神樂 ,艾道拿,黎昭昇,126,10,1:10.74
12,7,椒椒醒 ,希威森,廖康銘,129,13,1:11.72
13,5,高明力量 ,周俊樂,呂健威,127,4,1:12.70
